appref,proposal,appstatus,siteadd,datevalid,decision,decisionNotice
HGY/2024/3196,"Approval of details reserved by a condition 4 (Details of Front Boundary Wall, Enclosures, Screening of Recycling Containers and Wheeled Refuse Bins/ Containers ) attached to planning permission HGY/2023/2578 for the Change of Use from C3 to C4 (6 Person HMO).",Decision Made,324 Philip Lane Tottenham London N15 4AB,26/11/2024,Approve,14/1/2025
HGY/2024/3243,"Single storey rear extension, garage conversion to create a habitable space, first floor side extension, front porch with a new front door, and alterations to the fenestration.",Decision Made,15 Downhills Avenue Tottenham London N17 6LG,26/11/2024,Approve with Conditions,17/1/2025
HGY/2024/3210,"Erection of single storey extension which extends beyond the rear wall of the original house by 6m, for which the maximum height would be 3.2m and for which the height of the eaves would be 2.74m",Decision Made,71 Coppetts Road Hornsey London N10 1JH,25/11/2024,Approve,06/1/2025
HGY/2024/3212,Excavation of existing basement extension.,Decision Made,11 Womersley Road Hornsey London N8 9AE,25/11/2024,Approve with Conditions,20/1/2025
HGY/2024/2838,"Application to determine if prior approval is required for a proposed: Change of use from Commercial, Business and Service (Use Class E) to Dwellinghouses (Use Class C3)
Town and Country Planning (General Permitted Development) (England) Order 2015 (as amended) - Schedule 2, Part 3, Class MA",Decision Made,Outbuilding R/O 62 Willoughby Lane Tottenham London N17 0SS,25/11/2024,Refuse,20/1/2025
HGY/2024/3192,"1x holly tree (T1 on sketch plan): full removal of tree, 2x birch trees (T2 & T3 on sketch plan): full removal of trees
Reason for removal of all three trees is to make way for a potential outbuilding at rear of garden",Decision Made,19 Southern Road Hornsey London N2 9LH,22/11/2024,No Objections,09/1/2025
HGY/2024/2977,Certificate of Lawfulness: Existing use as 3no. self-contained flats.,Decision Made,5 The Drive Wood Green London N11 2DY,22/11/2024,Refuse,17/1/2025
HGY/2024/3208,Single-storey rear extension,Decision Made,42 Rosebery Road Hornsey London N10 2LJ,22/11/2024,Approve with Conditions,14/1/2025
HGY/2024/3189,Erection of single storey side infill rear extension (retrospective).,Decision Made,26 Richmond Road Wood Green London N11 2QR,22/11/2024,Refuse,17/1/2025
HGY/2024/3180,"Rear roof extension with solar panels, front roof lights, replacement rear door and all associated works",Decision Made,Flat A 8 Rathcoole Avenue Hornsey London N8 9NA,21/11/2024,Approve with Conditions,15/1/2025
HGY/2024/3186,Proposed conversion of existing dwelling house (Use Class C3) into a small-scale House of Multiple Occupation (HMO) for up to 6 residents (Use Class C4).,Decision Made,146 Harringay Road Tottenham London N15 3HL,21/11/2024,Refuse,16/1/2025
HGY/2024/3182,Internal alteration to create additional room,Decision Made,24 Ingleton Road Tottenham London N18 2RU,21/11/2024,Approve with Conditions,16/1/2025
HGY/2024/3236,"Demolition of all existing buildings and structures and erection of new flexible industrial/logistics units falling within Use Classes E(g)(ii)/(iii), B2 and/or B8 (with ancillary office accommodation) and all associated works, including access arrangements, a new internal road network, parking/servicing, and hard and soft landscaping (Observations to L.B. Enfield - their planning reference 24/03805/FUL)",Decision Made,Claverings Industrial Estate London N9 0AB,21/11/2024,No Objection,16/1/2025
HGY/2024/3187,"T1) Holly growing through fence: low amenity value; in shade of bigger Holly: Remove to ground level.

T2) Eucalyptus by fence: small leggy tree with poor form: Remove to ground level.

T3 & T4) 2 x Mimosa: Reduce overall crown by up to 2 metres; provide tidy and uniform shape.",Decision Made,16 Highgate Avenue Hornsey London N6 5SB,21/11/2024,No Objections,07/1/2025
HGY/2024/3176,Approval of details reserved by a condition 10d (Verification) attached to planning reference HGY/2022/0044.,Decision Made,Florentia Clothing Village 108 Vale Road Haringey N4 1TD,20/11/2024,Approve,14/1/2025
HGY/2024/3097,"Erection of full-width ground floor rear extensions and erection of a type 3 additional floors extension across nos. 79 & 81 Gladesmore Road, N15",Decision Made,79 & 81 Gladesmore Road Tottenham London N15 6TL,20/11/2024,Approve with Conditions,09/1/2025
HGY/2024/3177,"Erection of half-width first floor rear extension across the two properties, 27 & 29 Craven Park Road",Decision Made,27-29 Craven Park Road Tottenham London N15 6AA,20/11/2024,Approve with Conditions,15/1/2025
HGY/2024/3171,"Certificate of lawfulness for proposed single storey rear extension, single storey rear infill extension, rear dormer extension and two front rooflights.",Decision Made,21 Antill Road Tottenham London N15 4AS,19/11/2024,Permitted Development,14/1/2025
HGY/2024/3172,Erection of ground floor wrap-around extension.,Decision Made,21 Antill Road Tottenham London N15 4AS,19/11/2024,Approve with Conditions,09/1/2025
HGY/2024/3163,Approval of details pursuant to conditions 51 - partial discharge Part B (Secured by Design) of planning permission HGY/2017/3117 relating to Block E1,Decision Made,Land at Haringey Heartlands between Hornsey Park Road Mayes Road Coburg Road Western Road and the Kings Cross / East Coast Mainline Clarendon Gas Works Olympia Trading Estate and 57-89 Western Road London N8,19/11/2024,Approve,07/1/2025
HGY/2024/3200,"Approval of details reserved by condition 29 (NRMM) of Planning Permission HGY/2023/1043 for ""erection of a three-storey building comprising of Class E floorspace and external alterations of the existing Civic Centre and offices""",Decision Made,Civic Centre High Road Wood Green London N22 9SB,18/11/2024,Approve,07/1/2025
HGY/2024/3201,"Partial approval of details reserved by condition 22 - parts a, b, c and d only (Contamination) of Planning Permission HGY/2023/1043 for ""erection of a three-storey building comprising of Class E floorspace and external alterations of the existing Civic Centre and offices""",Decision Made,Civic Centre High Road Wood Green London N22 9SB,18/11/2024,Approve,07/1/2025
HGY/2024/3147,"Certificate of lawfulness for proposed rear dormer loft conversion, including the insertion of 2no. front rooflights.",Decision Made,96 Flexmere Road Tottenham London N17 7AY,18/11/2024,Approve with Conditions,20/1/2025
HGY/2024/3157,Replacement of existing timber windows with new UPVC windows,Decision Made,75 Ferme Park Road Hornsey London N8 9SA,18/11/2024,Approve with Conditions,13/1/2025
HGY/2024/3154,Certificate of Lawfulness: Proposed use for the formation of a rear dormer roof extension and installation of rooflights to the front slope.,Decision Made,3 Passmore Gardens Wood Green London N11 2PE,18/11/2024,Permitted Development,13/1/2025
HGY/2024/3153,Non-material amendments to planning permission HGY/2020/1851 to amend the layout of blocks E1-E3,Decision Made,Land at Haringey Heartlands between Hornsey Park Road Mayes Road Coburg Road Western Road and the Kings Cross / East Coast Mainline Clarendon Gas Works Olympia Trading Estate and 57-89 Western Road London N8,18/11/2024,Approve,07/1/2025
HGY/2024/3198,"Approval of details reserved by condition 20 (Secured By Design) of Planning Permission HGY/2023/1043 for ""erection of a three-storey building comprising of Class E floorspace and external alterations of the existing Civic Centre and offices""",Decision Made,Civic Centre High Road Wood Green London N22 9SB,18/11/2024,Approve,07/1/2025
HGY/2024/3145,Erection of single storey rear extension and replacement ground floor roof lantern.,Decision Made,50 Great North Road Hornsey London N6 4LT,15/11/2024,Withdrawn,09/1/2025
HGY/2024/3131,"Loft conversion with the erection of a rear dormer extension, construction of a rear roof terrace with 1.1m high black coated metal safety railing balustrade and 1.1m bamboo screening roll, and insertion of 2no. front rooflights. (AMENDED DESCRIPTION)",Decision Made,Flat B 1 Crescent Road Wood Green London N22 7RP,14/11/2024,Approve with Conditions,09/1/2025
HGY/2024/3129,Certificate of lawfulness for proposed erection of a rear roof extension including the insertion of 2no. front and 1no. rear rooflights.,Decision Made,54 Craven Park Road Tottenham London N15 6AB,14/11/2024,Approve,09/1/2025
HGY/2024/3132,"Loft conversion with erection of a rear dormer roof extension, insertion of 2no. rooflights on the front roof slope, and internal alterations to floor plan.",Decision Made,11 Perth Road Hornsey London N4 3HB,14/11/2024,Approve with Conditions,09/1/2025
HGY/2024/3138,Replacement of existing side conservatory with a new conservatory extension,Decision Made,Restaurant 162 High Road Wood Green London N22 6EB,14/11/2024,Approve with Conditions,09/1/2025
HGY/2024/3127,"Rear Garden:

Horse Chestnut T1 (16M high, 500mm dia.) - Reduce the crown overall by up to 2.5 metres.

Reason: To reduce excessive shading at the rear of the garden. To reduce excessive overhang to neighbouring gardens.",Decision Made,13 Shepherds Hill Hornsey London N6 5QJ,13/11/2024,No Objections,20/1/2025
HGY/2024/3128,Erection of a single storey wrap-around rear extension with 1no. roof lantern.,Decision Made,23 Earlsmead Road Tottenham London N15 4DA,13/11/2024,Refuse,08/1/2025
HGY/2024/2797,Conversion of Existing Residential House into House in Multiple Occupation for up to 6 people.,Decision Made,20 Palace Road Wood Green London N11 2PR,13/11/2024,Refuse,08/1/2025
HGY/2024/3126,"Works to tree protected by a TPO
Rear garden: Sycamore T1 (20M high, 1000mm dia.) - Reduce the crown overall back to the most recent points of reduction by up to 4 metres.
Reason: Cyclical maintenance of a large tree that has previously been crown reduced. To reduce excessive shading and allow more natural light into the garden area.",Decision Made,11 Shepherds Hill Hornsey London N6 5QJ,13/11/2024,Approve with Conditions,20/1/2025
HGY/2024/3122,"Installation of a timber summerhouse and timber shed in the rear garden of Flat 1, 2 Clifton Road",Decision Made,Flat 1 2 Clifton Road Hornsey London N8 8HY,13/11/2024,Approve with Conditions,13/1/2025
HGY/2024/3121,Rear L-Shaped dormer with rooflights on front slope,Decision Made,182 Albert Road Wood Green London N22 7AH,13/11/2024,Approve with Conditions,07/1/2025
HGY/2024/3120,Erection of an L-shaped roof extension,Decision Made,127 Inderwick Road Hornsey London N8 9JR,13/11/2024,Approve with Conditions,08/1/2025
HGY/2024/3103,Proposed conversion of 2no. self-contained dwelling units to single family dwellinghouse (Use Class C3),Decision Made,Ground Floor Flat A 372 St Anns Road Tottenham London N15 3ST,12/11/2024,Approve with Conditions,07/1/2025
HGY/2024/3113,Replacement of existing timber windows with new UPVC windows,Decision Made,25 Nelson Road Hornsey London N8 9RX,12/11/2024,Approve with Conditions,07/1/2025
HGY/2024/3104,Proposed amalgamation of two separate self-contained flats into one larger self-contained flat occupying the first and second floors of the property.,Decision Made,Flat B and Flat C 118 Dukes Avenue Hornsey London N10 2QB,12/11/2024,Approve with Conditions,16/1/2025
HGY/2024/3102,Demolition of existing lean to and erection of a single storey rear infill extension,Decision Made,41 Willingdon Road Wood Green London N22 6SG,12/11/2024,Approve with Conditions,20/1/2025
HGY/2024/3101,The erection of a ground floor rear and side extension and the construction of a front porch,Decision Made,9 Rostrevor Avenue Tottenham London N15 6LA,12/11/2024,Approve with Conditions,07/1/2025
HGY/2024/3086,Single storey rear extension with two rooflights.,Decision Made,108 North Hill Hornsey London N6 4RL,11/11/2024,Approve with Conditions,06/1/2025
HGY/2024/3093,"Conversion of the existing office spaces and 1 x residential unit (1 x 4bed), over first, and second floor levels only, to provide 4 x residential units (2 x 2beds, 2 x 1beds) with associated external alterations and internal reconfigurations, replacement of the existing windows, new side rooflight, and the replacement of existing rear balconies with new terrace balconies to the existing property .",Decision Made,Lloyds Bank Building 140-142 Muswell Hill Broadway Hornsey London N10 3SA,11/11/2024,Approve with Conditions,13/1/2025
HGY/2024/3092,"The proposal comprises of the installation of 20m high monopole supporting 6 no. antennas, 2 no. transmission dishes, 2 no. equipment cabinets and ancillary development thereto including Remote Radio Units (RRUs). (Prior Notification)",Decision Made,Alexandra Park Footway of Bridge Road Hornsey London N22 7SN,11/11/2024,Refuse,03/1/2025
HGY/2024/3095,Single storey rear extension.,Decision Made,77 Nightingale Road Wood Green London N22 8PT,11/11/2024,Approve with Conditions,06/1/2025
HGY/2024/3084,Certificate of lawfulness for proposed loft conversion including rear dormer extensions and 1no front rooflight.,Decision Made,48 Clyde Road Wood Green London N22 7AE,11/11/2024,Approve,15/1/2025
HGY/2024/3067,Approval of details for Condition 1 (Window and material details) of planning permission ref. HGY/2023/3125 granted on 21/11/2023 for the replacement of existing ground floor and first floor extensions to the rear of the house.,Decision Made,17 Muswell Avenue Hornsey London N10 2EB,11/11/2024,Approve,09/1/2025
HGY/2024/3042,"Demolition of existing ground floor rear extension and first floor conservatory. Erection of a single storey rear and side extension, a first floor rear extension and a roof dormer on the rear outrigger. Enlargement to existing rear dormer and alteration to front dormer.",Decision Made,7 Onslow Gardens Hornsey London N10 3JT,08/11/2024,Approve with Conditions,09/1/2025
HGY/2024/3080,Two rear dormers to flat 10 and 20. (Observations to L.B. Enfield - their planning reference 24/02577/FUL),Decision Made,Flat 10 And 20 10-12 Warwick Road London N11 2TJ,07/11/2024,No Objection,17/1/2025
HGY/2024/3058,"Demolition of existing ground floor lean-to rear extension. Construction of a new side return extension with glazed roof and single storey rear extension. Replacement of existing single glazed sash windows with double glazed timber sash windows. Minor amendments to rear dormer windows, slight enlargement of French doors to loft bedroom and recladding of dormer in zinc. New flat rooflights to dormer flat roof and removal of existing front Velux window. Installation of an Air Source Heat Pump at the bottom of the garden.",Decision Made,59 Linzee Road Hornsey London N8 7RG,07/11/2024,Approve with Conditions,16/1/2025
HGY/2024/3237,"Application for Advertisement Consent for the replacement of existing fascia sign with two new non-illuminated fascia signs, the repositioning of the existing projecting sign and the installation of one new additional non-illuminated projecting sign.",Decision Made,523 High Road Tottenham London N17 6SB,07/11/2024,Approve with Conditions,17/1/2025
HGY/2024/3041,"Erection of a part single storey rear extension to no. 8, first-floor rear extensions at Nos. 6 and 8 Rostrevor Avenue.",Decision Made,6 - 8 Rostrevor Avenue London N15 6LR,05/11/2024,Approve with Conditions,17/1/2025
