decision,appno,siteAdd,appType,proposal,applicant
"Granted 
				02-01-2025",2024/4155/P,"100 New Oxford Street
London
WC1A 1HB ",Full Planning Permission ,"Installation of additional rooftop air conditioning plant and ancillary pipework
 ",- 
"Granted 
				03-01-2025",2024/5094/P,"90 Bartholomew Road
London
Camden
NW5 2AS ",Full Planning Permission ,"Conversion of two self-contained flats into a single-family dwelling, including the erection of a first-floor rear extension above the existing ground-floor extension and side-facing windows ",Walker 
"Approve Works (TPO) 
				03-01-2025",2024/5228/T,"15 Dartmouth Park Road
London
NW5 1SU ",Application for Works to Tree(s) covered by a TPO ,(TPO REF: C339 2002) FRONT GARDEN: 1 x Horse Chestnut (T1) - Reduce height and spread back to previous pruning points (2m).  ,. 
"Granted 
				02-01-2025",2024/4936/L,"15 Downshire Hill
London
Camden
NW3 1NR ",Approval of Details (Listed Building) ,Discharge of condition 4 (sample of the proposed Welsh slate) of 2024/2389/L (replacement of roof slates and associated repair works to the main roof and replacement of rainwater goods) ,Wanyun (Catherine) Gu 
"Granted 
				03-01-2025",2024/5261/P,"5 - 17 Haverstock Hill
London
NW3 2BP ",Approval of Details ,"Details to discharge Condition 19 (Details of Mechanical Ventilation) of planning reference 2016/3975/P dated 02/10/18 for demolition of existing building and erection of a part-six, part-seven storey development comprising 77 residential units (8 x studio, 18 x 1-Bed, 32 x 2-Bed and 19 x 3-Bed units) (Use Class C3) and retail (Use Class A1-A5) use at ground floor with associated cycle parking, amenity space, refuse and recycling store and associated works. ",. 
"No Objection to Works to Tree(s) in CA 
				03-01-2025",2024/5268/T,"St Saviours Parish Church
Eton Road
London
NW3 4SU ",Notification of Intended Works to Tree(s) in a Conservation Area ,"FRONT GARDEN: 1 x Purple Plum (T1) - Remove split limb across path touching wall of church. Lift remaining branches over path to approx. 2.5m from ground level and reduce branches growing east by approx. 2m. 
1 x Holly (T2) - Reduce height by approx. 3m to below gutter height of church. 
1 x Elder (T4) - take down to ground level.
 ",Barbara Brend 
"Granted 
				03-01-2025",2024/5276/P,"Victoria House
37-63 Southampton Row
London
WC1B 4DA ",Full Planning Permission ,"Internal amendments to the layout and finishes at Basement Levels 1 and 2, installation of supports to the atrium ductwork, minor alterations at roof level and other associated works. ",Please see company name 
"Granted 
				03-01-2025",2024/5282/P,"1 Museum Street
London
WC1A 1JR ",Approval of Details ,"Details to part discharge Condition 23 (Arboricultural Method Statement) - pre-demolition, of planning reference 2023/2510/P dated 07/03/24 for redevelopment of Selkirk House, 166 High Holborn and 1 Museum Street following the substantial demolition of the existing NCP car park and former Travelodge Hotel to provide a mixed-use scheme, providing office, residential, and town centre uses at ground floor level. Works of part-demolition and refurbishment to 10-12 Museum Street, 35-41 New Oxford Street, and 16A-18 West Central Street to provide further town centre ground floor uses and residential floorspace, including affordable housing provision. Provision of new public realm including a new pedestrian route through the site to link West Central Street with High Holborn. Relocation of cycle hire docking stations on High Holborn. ",. 
"Granted 
				02-01-2025",2024/4947/L,"38 Hampstead Gates, Flat 7
Ryland Road
London
Camden
NW5 3LN ",Listed Building Consent ,Internal alterations.  ,Mr Luca Diomede 
"Granted 
				03-01-2025",2024/4571/P,"78 Bartholomew Road
London
NW5 2AL ",Householder Application ,Replacement of existing bike shed. ,Ms Poppy Sebire 
"Granted 
				03-01-2025",2024/2752/P,"30 Chalcot Road
London
NW1 8LN ",Householder Application ,Installation of air conditioning condenser unit on fourth floor front terrace. ,Kerem Cevahir 
"Granted 
				02-01-2025",2024/4641/P,"Camden Goods Yard
Chalk Farm Road
London
NW1 8EH ",Approval of Details ,Partial details of PV Panels for Block A for condition 52 of planning permission 2022/3646/P dated 29/03/2023 (for: variation to original permission 2017/3847/P dated 15/06/2018 for redevelopment of the petrol filling station site and main supermarket site) ,Mr Emmanouil Magkaris 
"Granted 
				03-01-2025",2024/4517/P,"Flat A, 146 Fellows Road
London
NW3 3JH ",Full Planning Permission ,Erection of an outbuilding replacing an existing shed in the rear garden. ,Mrs Zoe Gibson 
"Refused 
				03-01-2025",2024/4913/P,"Flat 2
11 Buckland Crescent
London
Camden
NW3 5DH ",Full Planning Permission ,Erection of a front/side extension at upper ground floor level over existing lower ground floor level addition and enlargement of existing rear roof terrace at upper ground floor level. ,Mr Dan Jones 
